17:12:47.996882 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122428:2122584, ack 1081, win 592, length 156
17:12:47.996943 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122584:2122740, ack 1081, win 592, length 156
17:12:47.997001 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122740:2122896, ack 1081, win 592, length 156
17:12:47.997057 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122896:2123052, ack 1081, win 592, length 156
17:12:47.997114 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123052:2123208, ack 1081, win 592, length 156
17:12:47.997178 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123208:2123364, ack 1081, win 592, length 156
17:12:47.997250 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123364:2123520, ack 1081, win 592, length 156
17:12:47.997340 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123520:2123676, ack 1081, win 592, length 156
17:12:47.997399 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123676:2123832, ack 1081, win 592, length 156
17:12:47.997457 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123832:2123988, ack 1081, win 592, length 156
17:12:47.997523 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2123988:2124144, ack 1081, win 592, length 156
17:12:47.997581 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124144:2124300, ack 1081, win 592, length 156
17:12:47.997639 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124300:2124456, ack 1081, win 592, length 156
17:12:47.997704 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124456:2124612, ack 1081, win 592, length 156
17:12:47.997760 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124612:2124768, ack 1081, win 592, length 156
17:12:47.997820 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124768:2124924, ack 1081, win 592, length 156
17:12:47.997878 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2124924:2125080, ack 1081, win 592, length 156
17:12:47.997932 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125080:2125236, ack 1081, win 592, length 156
17:12:47.998007 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125236:2125392, ack 1081, win 592, length 156
17:12:47.998067 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125392:2125548, ack 1081, win 592, length 156
17:12:47.998125 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125548:2125704, ack 1081, win 592, length 156
17:12:47.998242 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125704:2125860, ack 1081, win 592, length 156
17:12:47.998309 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2125860:2126016, ack 1081, win 592, length 156
17:12:47.998388 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126016:2126172, ack 1081, win 592, length 156
17:12:47.998448 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126172:2126328, ack 1081, win 592, length 156
